000001;00001;D;00005000000;00015000000;00020000000;20260704
000002;00002;S;00001000000;00008755000;00007755000;20260704
000003;00003;P;00000200000;00000500000;00000300000;20260704
000004;00004;S;00003000000;00025000000;00022000000;20260704
000005;00005;D;00000250000;00000000000;00000250000;20260704
000006;00006;P;00001000000;00003200000;00002200000;20260704
000007;00007;S;00005000000;00012000000;00007000000;20260704
000008;00008;D;00000750000;00006500000;00007250000;20260704
000009;00009;P;00000250000;00000750000;00000500000;20260704
000010;00010;S;00002000000;00018000000;00016000000;20260704
000011;00011;D;00001000000;00004000000;00005000000;20260704
000012;00012;P;00000050000;00009900000;00009850000;20260704
000013;00013;S;00000200000;00000300000;00000100000;20260704
000014;00014;D;00003000000;00014500000;00017500000;20260704
000016;00001;S;00002500000;00020000000;00017500000;20260704
000017;00002;D;00004000000;00007755000;00011755000;20260704
000019;00004;D;00005000000;00022000000;00027000000;20260704
000020;00005;S;00000100000;00000250000;00000150000;20260704
